Label,NarratorID_Mapped,NarratorNameAr,NarratorNameAr-Mapped,NarratorNameEn-Mapped,Gender,NarratorGeneration
Talq bin Muawiya al-Nakhai (1),10777,طلق بن معاوية أبو عتاب النخعى الكوفى,طلق بن معاوية النخعي,Talq bin Muawiya al-Nakhai (1),Male,Follower(Tabi')
Asim bin Kulayb bin Shahab (5),10778,عاصم بن كليب بن شهاب بن المجنون الجرمى,عاصم بن كليب بن شهاب بن المجنون,Asim bin Kulayb bin Shahab (5),Male,Follower(Tabi')
Amir bin Abda (3),10779,عامر بن عبدة أبو إياس البجلى الكوفى,عامر بن عبدة,Amir bin Abda (3),Male,Follower(Tabi')
Abdullah bin al-Harith (3),10780,عبد الله بن الحارث الزبيدى النجرانى,عبد الله بن الحارث الزبيدي,Abdullah bin al-Harith (3),Male,Follower(Tabi')
Abdullah bin Habib (6),10781,عبد الله بن حبيب بن أبى ثابت الأسدى,عبد الله بن حبيب بن أبي ثابت,Abdullah bin Habib (6),Male,Follower(Tabi')
Abdullah bin al-Saib,10782,عبد الله بن السائب الكندى الكوفى,عبد الله بن السائب الكندي,Abdullah bin al-Saib,Male,Follower(Tabi')
Abdullah bin Shabarma,10783,عبد الله بن شبرمة أبو شبرمة الضبى,عبد الله بن شبرمة,Abdullah bin Shabarma,Male,Follower(Tabi')
Abdullah bin Shhab (3),10784,عبد الله بن شهاب أبو الجزل الخولانى,عبد الله بن شهاب الخولاني أبو الجزل,Abdullah bin Shhab (3),Male,Follower(Tabi')
Abdullah bin Ataa (6),10785,عبد الله بن عطاء الطائفى المكى,عبد الله بن عطاء الطائفي,Abdullah bin Ataa (6),Male,Follower(Tabi')
Abdullah bin Akaym (1),10786,عبد الله بن عكيم أبو معبد الجهنى,عبد الله بن عكيم,Abdullah bin Akaym (1),Male,Follower(Tabi')
Abdullah bin Abi al-Hadhayl (2),10787,عبد الله بن أبى الهذيل الكوفى,عبد الله بن أبي الهذيل,Abdullah bin Abi al-Hadhayl (2),Male,Follower(Tabi')
Abdullah bin Yazid al-Nkhy (6),10788,عبد الله بن يزيد النخعى الكوفى,عبد الله بن يزيد النخعي الصهباني,Abdullah bin Yazid al-Nkhy (6),Male,Follower(Tabi')
Abdur Rahman bin Abd Rabb,10789,عبد الرحمن بن عبد رب الكعبة العائذى,عبد الرحمن بن عبد رب,Abdur Rahman bin Abd Rabb,Male,Follower(Tabi')
Abdur Rahman bin Qays (3),10790,عبد الرحمن بن قيس أبو صالح الحنفى,عبد الرحمن بن قيس أبو صالح الحنفي,Abdur Rahman bin Qays (3),Male,Follower(Tabi')
Abdur Rahman bin Hilal (3),10791,عبد الرحمن بن هلال العبسى الكوفى,عبد الرحمن بن هلال,Abdur Rahman bin Hilal (3),Male,Follower(Tabi')
Abdul Malik bin Said (6),10792,عبد الملك بن سعيد بن حيان بن أبجر الكوفى,عبد الملك بن سعيد,Abdul Malik bin Said (6),Male,Follower(Tabi')
Abdh bin Abi Lbabh (4),10793,عبدة بن أبى لبابة الأسدى البزاز,عبدة بن أبي لبابة الأسدي,Abdh bin Abi Lbabh (4),Male,Follower(Tabi')
Ubaidullah bin al-Qbtyh (4),10794,عبيد الله ابن القبطية الكوفى,عبيد الله بن القبطية الكوفي,Ubaidullah bin al-Qbtyh (4),Male,Follower(Tabi')
Ubaid bin al-Braa bin Aazb ,10795,عبيد بن البراء بن عازب الأنصارى,عبيد بن البراء بن عازب الأنصاري الحارثي,Ubaid bin al-Braa bin Aazb ,Male,Follower(Tabi')
Ubaid bin al-Hasan al-Mzny (5),10796,عبيد بن الحسن أبو الحسن المزنى الكوفى,عبيد بن الحسن المزني,Ubaid bin al-Hasan al-Mzny (5),Male,Follower(Tabi')
Ubaid bin Mahran al-Maktab,10797,عبيد بن مهران المكتب الكوفى,عبيد بن مهران المكتب,Ubaid bin Mahran al-Maktab,Male,Follower(Tabi')
Ubaid bin Ndlh,10798,عبيد بن نضلة أبو معاوية الخزاعى,عبيد بن نضلة,Ubaid bin Ndlh,Male,Follower(Tabi')
Azrh bin Abdur Rahman (6),10799,عزرة بن عبد الرحمن بن زرارة الخزاعى,عزرة بن عبد الرحمن بن زرارة الخزاعي,Azrh bin Abdur Rahman (6),Male,Follower(Tabi')
Uqba bin Hryth al-Tghlby (4),10800,عقبة بن حريث التغلبى الكوفى,عقبة بن حريث التغلبي الكوفي,Uqba bin Hryth al-Tghlby (4),Male,Follower(Tabi')
Alqama bin Wail bin Hjr (3),10801,علقمة بن وائل بن حجر الحضرمى,علقمة بن وائل بن حجر,Alqama bin Wail bin Hjr (3),Male,Follower(Tabi')
Ammar bin Muawiya bin Aslam al-Dahni (5),10802,عمار بن معاوية أبو معاوية الدهنى البجلى,عمار بن معاوية الدهني,Ammar bin Muawiya bin Aslam al-Dahni (5),Male,Follower(Tabi')
Amr bin Qays al-Malai (6),10803,عمرو بن قيس أبو عبد الله الملائى الكوفى,عمرو بن قيس الملائي,Amr bin Qays al-Malai (6),Male,Follower(Tabi')
Imran bin al-Harith al-Slmy ,10804,عمران بن الحارث أبو الحكم السلمى الكوفى,عمران بن الحارث السلمي أبو الحكم الكوفي,Imran bin al-Harith al-Slmy ,Male,Follower(Tabi')
Auf bin Malik bin Nadlah (3),10805,عوف بن مالك بن نضلة أبو الأحوص الجشمى,عوف بن مالك بن نضلة - أبو الأحوص,Auf bin Malik bin Nadlah (3),Male,Follower(Tabi')
Awn bin Abdullah bin Utba (4),10806,عون بن عبد الله بن عتبة بن مسعود الهذلى,عون بن عبد الله بن عتبة بن مسعود الهذلي,Awn bin Abdullah bin Utba (4),Male,Follower(Tabi')
Ayash bin Amr,10807,عياش بن عمرو العامرى الكوفى,عياش بن عمرو,Ayash bin Amr,Male,Follower(Tabi')
al-Yzar bin Hryth al-Bdy al-Kwfy (3),10808,العيزار بن حريث العبدى الكوفى,العيزار بن حريث,al-Yzar bin Hryth al-Bdy al-Kwfy (3),Male,Follower(Tabi')
Ghylan bin Jam bin Ashth (6),10809,غيلان بن جامع بن أشعث المحاربى الكوفى,غيلان بن جامع بن أشعث المحاربي,Ghylan bin Jam bin Ashth (6),Male,Follower(Tabi')
Fdyl bin Amr al-Fqymy (6),10810,فضيل بن عمرو أبو النضر الفقيمى,فضيل بن عمرو الفقيمي,Fdyl bin Amr al-Fqymy (6),Male,Follower(Tabi')
al-Qasim bin Awf al-Shybany ,10811,القاسم بن عوف الشيبانى الكوفى,القاسم بن عوف الشيباني,al-Qasim bin Awf al-Shybany ,Male,Follower(Tabi')
al-Qasim bin Mukhaymara (3),10812,القاسم بن مخيمرة أبو عروة الهمدانى,القاسم بن مخيمرة,al-Qasim bin Mukhaymara (3),Male,Follower(Tabi')
Qanab al-Tamimi (6),10813,قعنب التميمى الكوفى,قعنب التميمي الكوفي,Qanab al-Tamimi (6),Male,Follower(Tabi')
Qays bin al-Skn al-Asady ,10814,قيس بن السكن الأسدى الكوفى,قيس بن السكن الأسدي الكوفي,Qays bin al-Skn al-Asady ,Male,Follower(Tabi')
Qays bin Wahb al-Hmdany (5),10815,قيس بن وهب الهمدانى الكوفى,قيس بن وهب الهمداني الكوفي,Qays bin Wahb al-Hmdany (5),Male,Follower(Tabi')
Kathir bin Mdrk al-Ashjy ,10816,كثير بن مدرك أبو مدرك الأشجعى الكوفى,كثير بن مدرك الأشجعي أبو مدرك الكوفي,Kathir bin Mdrk al-Ashjy ,Male,Follower(Tabi')
Muhammad bin Harb bin Aws al-Dhahli ,10817,محمد بن حرب بن أوس الذهلى الكوفى,محمد بن حرب بن أوس الذهلي الكوفي,Muhammad bin Harb bin Aws al-Dhahli ,Male,Follower(Tabi')
Muhammad bin Abdur Rahman bin Ubaid (6),10818,محمد بن عبد الرحمن بن عبيد القرشى,محمد بن عبد الرحمن بن عبيد القرشي,Muhammad bin Abdur Rahman bin Ubaid (6),Male,Follower(Tabi')
Malik bin al-Harith al-Salmi ,10819,مالك بن الحارث السلمى الرقى,مالك بن الحارث السلمي,Malik bin al-Harith al-Salmi ,Male,Follower(Tabi')
Mujalid bin Said bin Umayr,10820,مجالد بن سعيد بن عمير الهمدانى,مجالد بن سعيد الهمداني,Mujalid bin Said bin Umayr,Male,Follower(Tabi')
Mjm bin Yahya bin Yazid (5),10821,مجمع بن يحيى بن يزيد بن جارية الأنصارى,مجمع بن يحيى بن يزيد بن جارية,Mjm bin Yahya bin Yazid (5),Male,Follower(Tabi')
Mukhtar bin Syfy ,10822,مختار بن صيفى الكوفى,مختار بن صيفي,Mukhtar bin Syfy ,Male,Follower(Tabi')
Mzahm bin Zfr bin al-Harith ,10823,مزاحم بن زفر بن الحارث الضبى الكوفى,مزاحم بن زفر بن الحارث الضبي ويقال,Mzahm bin Zfr bin al-Harith ,Male,Follower(Tabi')
al-Mstwrd bin al-Ahnf al-Kwfy (2),10824,المستورد بن الأحنف الكوفى,المستورد بن الأحنف الكوفي,al-Mstwrd bin al-Ahnf al-Kwfy (2),Male,Follower(Tabi')
Masud bin Malik,10825,مسعود بن مالك بن معبد الأسدى الكوفى,مسعود بن مالك,Masud bin Malik,Male,Follower(Tabi')
Masud bin Malik Abu Razayn al-Asadi (2),10826,مسعود بن مالك أبو رزين الأسدى,مسعود بن مالك أبو رزين الأسدي,Masud bin Malik Abu Razayn al-Asadi (2),Male,Follower(Tabi')
Musab bin Slym al-Asady (5),10827,مصعب بن سليم الأسدى مولى آل الزبير,مصعب بن سليم الأسدي مولى آل الزبير,Musab bin Slym al-Asady (5),Male,Follower(Tabi')
Maraf bin Wasal (6),10828,معرف بن واصل السعدى الكوفى,معرف بن واصل,Maraf bin Wasal (6),Male,Follower(Tabi')
al-Mughira bin Abdullah (4),10829,المغيرة بن عبد الله بن أبى عقيل اليشكرى,المغيرة بن عبد الله بن أبي عقيل,al-Mughira bin Abdullah (4),Male,Follower(Tabi')
al-Mqdam bin Shryh bin Hani (6),10830,المقدام بن شريح بن هانئ الحارثى,المقدام بن شريح بن هانئ بن يزيد,al-Mqdam bin Shryh bin Hani (6),Male,Follower(Tabi')
al-Mndhr bin Jryr bin Abd (3),10831,المنذر بن جرير بن عبد الله البجلى,المنذر بن جرير بن عبد الله البجلي,al-Mndhr bin Jryr bin Abd (3),Male,Follower(Tabi')
Musa bin Abdullah,10832,موسى بن عبد الله بن يزيد الخطمى الكوفى,موسى بن عبد الله بن يزيد,Musa bin Abdullah,Male,Follower(Tabi')
Musa bin Abdullah,10833,موسى بن عبد الله أبو سلمة الكوفى الجهنى,موسى بن عبد الله,Musa bin Abdullah,Male,Follower(Tabi')
Maymun bin Abi Shbyb,10834,ميمون بن أبى شبيب أبو نصر الربعى الكوفى,ميمون بن أبي شبيب,Maymun bin Abi Shbyb,Male,Follower(Tabi')
Hilal bin Yasaf (3),10835,هلال بن يساف الأشجعى الكوفى,هلال بن يساف,Hilal bin Yasaf (3),Male,Follower(Tabi')
al-Walid bin Hrb al-Ashry (6),10836,الوليد بن حرب الأشعرى الكوفى ولاد,الوليد بن حرب الأشعري الكوفي لقبه ولاد,al-Walid bin Hrb al-Ashry (6),Male,Follower(Tabi')
al-Walid bin Sry (4),10837,الوليد بن سريع الكوفى مولى آل عمرو,الوليد بن سريع,al-Walid bin Sry (4),Male,Follower(Tabi')
Wahb bin Rabiya al-Kwfy (3),10838,وهب بن ربيعة الكوفى,وهب بن ربيعة الكوفي,Wahb bin Rabiya al-Kwfy (3),Male,Follower(Tabi')
Yahya bin al-Jazar al-Arni (3),10839,يحيى بن الجزار العرنى الكوفى,يحيى بن الجزار,Yahya bin al-Jazar al-Arni (3),Male,Follower(Tabi')
Yahya bin Aabad bin Shayban (4),10840,يحيى بن عباد بن شيبان أبو هبيرة الأنصارى,يحيى بن عباد بن شيبان,Yahya bin Aabad bin Shayban (4),Male,Follower(Tabi')
Yahya bin Ubaid al-Bahrani (4),10841,يحيى بن عبيد أبو عمر البهرانى الكوفى,يحيى بن عبيد البهراني,Yahya bin Ubaid al-Bahrani (4),Male,Follower(Tabi')
Yazid bin al-Asm (3),10842,يزيد بن الأصم أبو عوف البكائى,يزيد بن الأصم,Yazid bin al-Asm (3),Male,Follower(Tabi')
Yazid bin Abi Ziyad,10844,يزيد بن أبى زياد الهاشمى الكوفى,يزيد بن أبي زياد,Yazid bin Abi Ziyad,Male,Follower(Tabi')
Yazid bin Kysan al-Yshkry (6),10845,يزيد بن كيسان اليشكرى الكوفى,يزيد بن كيسان اليشكري أبو إسماعيل,Yazid bin Kysan al-Yshkry (6),Male,Follower(Tabi')
Yonus bin Abi Ishaq,10846,يونس بن أبى إسحاق أبو إسرائيل السبيعى,يونس بن أبي إسحاق,Yonus bin Abi Ishaq,Male,Follower(Tabi')
Abu Bakr bin Umara ,10847,أبو بكر بن عمارة بن رويبة الثقفى الكوفى,أبو بكر بن عمارة بن روىبة,Abu Bakr bin Umara ,Male,Follower(Tabi')
Abu Shaba ,10848,أبو شعبة العراقى المزنى الكوفى,أبو شعبة المدني مولى سويد بن مقرن,Abu Shaba ,Male,Follower(Tabi')
Bakr bin Swadh bin Thmamh (3),10849,بكر بن سوادة بن ثمامة أبو ثمامة الجذامى,بكر بن سوادة بن ثمامة,Bakr bin Swadh bin Thmamh (3),Male,Follower(Tabi')
Bakr bin Amr al-Mafari (6),10850,بكر بن عمرو المعافرى المصرى,بكر بن عمرو المعافري,Bakr bin Amr al-Mafari (6),Male,Follower(Tabi')
Thmamh bin Shfy,10851,ثمامة بن شفى أبو على الهمدانى المصرى,ثمامة بن شفي,Thmamh bin Shfy,Male,Follower(Tabi')
al-Jlah Abu Kathir al-Amwy Mwlahm ,10852,الجلاح أبو كثير القرشى مولى الأمويين,الجلاح أبو كثير,al-Jlah Abu Kathir al-Amwy Mwlahm ,Male,Follower(Tabi')
al-Harith bin Yazid al-Hdrmy (4),10853,الحارث بن يزيد أبو عبد الكريم الحضرمى,الحارث بن يزيد الحضرمي,al-Harith bin Yazid al-Hdrmy (4),Male,Follower(Tabi')
al-Harith bin Yaqub (5),10854,الحارث بن يعقوب الأنصارى المصرى,الحارث بن يعقوب,al-Harith bin Yaqub (5),Male,Follower(Tabi')
Hakeem bin Abdullah bin Qays ,10855,حكيم بن عبد الله بن قيس بن مخرمة المطلبى,حكيم بن عبد الله بن قيس بن مخرمة,Hakeem bin Abdullah bin Qays ,Male,Follower(Tabi')
Hameed bin Hani Abu (5),10856,حميد بن هانئ أبو هانئ الخولانى المصرى,حميد بن هانئ أبو هانئ,Hameed bin Hani Abu (5),Male,Follower(Tabi')
Khayr bin Naeem (6),10857,خير بن نعيم بن مرة بن كريب الحضرمى,خير بن نعيم,Khayr bin Naeem (6),Male,Follower(Tabi')
"Sufyan bin Hani, Abu Salam al-Jayshani (2)",10858,سفيان بن هانئ أبو سالم الجيشانى المصرى,سفيان بن هانئ أبو سالم الجيشاني,"Sufyan bin Hani, Abu Salam al-Jayshani (2)",Male,Follower(Tabi')
Sulaym bin Jubair,10860,سليم بن جبير الدوسى مولى أبى هريرة,سليم بن جبير أبو يونس مولى أبي هريرة,Sulaym bin Jubair,Male,Follower(Tabi')
Shrahyl bin Yazid (6),10861,شراحيل بن يزيد المعافرى المصرى,شراحيل بن يزيد,Shrahyl bin Yazid (6),Male,Follower(Tabi')
Shrhbyl bin Shryk al-Maafry (6),10862,شرحبيل بن شريك أبو محمد المعافرى المصرى,شرحبيل بن شريك المعافري,Shrhbyl bin Shryk al-Maafry (6),Male,Follower(Tabi')
Abu Tamim al-Jayshani (1),10863,عبد الله بن مالك أبو تميم الجيشانى,"أبو تميم الجيشاني, عبد الله بن مالك",Abu Tamim al-Jayshani (1),Male,Follower(Tabi')
Abdullah bin Hbyrh (3),10864,عبد الله بن هبيرة بن أسعد السبئى,عبد الله بن هبيرة بن أسعد,Abdullah bin Hbyrh (3),Male,Follower(Tabi')
Abdur Rahman bin Jbyr (3),10865,عبد الرحمن بن جبير بن نفير الحضرمى,عبد الرحمن بن جبير المصري,Abdur Rahman bin Jbyr (3),Male,Follower(Tabi')
Abdur Rahman bin Hujayrah,10866,عبد الرحمن بن حجيرة المصرى القاضى,عبد الرحمن بن حجيرة,Abdur Rahman bin Hujayrah,Male,Follower(Tabi')
Abdur Rahman bin Shmash (3),10867,عبد الرحمن بن شماسة المهرى المصرى,عبد الرحمن بن شماسة,Abdur Rahman bin Shmash (3),Male,Follower(Tabi')
Abdur Rahman bin Wlh,10868,عبد الرحمن بن وعلة المصرى,عبد الرحمن بن وعلة,Abdur Rahman bin Wlh,Male,Follower(Tabi')
Abd al-Krym bin al-Harith (6),10869,عبد الكريم بن الحارث بن يزيد الحضرمى,عبد الكريم بن الحارث بن يزيد الحضرمي,Abd al-Krym bin al-Harith (6),Male,Follower(Tabi')
Ali bin Rabah bin Qasayr,10870,على بن رباح بن قصير أبو موسى اللخمى,علي بن رباح بن قصير,Ali bin Rabah bin Qasayr,Male,Follower(Tabi')
Ayyash bin Abbas al-Qanabi (6),10871,عياش بن عباس القتبانى المصرى الحميرى,عياش بن عباس القتباني,Ayyash bin Abbas al-Qanabi (6),Male,Follower(Tabi')
Kab bin Alqama bin Kab (5),10872,كعب بن علقمة بن كعب المصرى التنوخى,كعب بن علقمة بن كعب,Kab bin Alqama bin Kab (5),Male,Follower(Tabi')
Muslim bin Yasar al-Masri al-Tanbadhi,10873,مسلم بن يسار أبو عثمان الطنبذى المصرى,مسلم بن يسار المصري أبو عثمان الطنبذي,Muslim bin Yasar al-Masri al-Tanbadhi,Male,Follower(Tabi')
Nam bin Ajyl ,10874,ناعم بن أجيل الهمدانى مولى أم سلمة,ناعم بن أجيل,Nam bin Ajyl ,Male,Follower(Tabi')
Yazid bin Rbah,10875,يزيد بن رباح أبو فراس السهمى المصرى,يزيد بن رباح,Yazid bin Rbah,Male,Follower(Tabi')
Abu Alqama (3),10876,أبو علقمة الفارسى المصرى مولى بنى هاشم,أبو علقمة,Abu Alqama (3),Male,Follower(Tabi')
Atyh bin Qays al-Klaby (3),10877,عطية بن قيس أبو يحيى الكلابى الشامى,عطية بن قيس الكلابي,Atyh bin Qays al-Klaby (3),Male,Follower(Tabi')
Madan bin Abi Talha (2),10878,معدان بن أبى طلحة اليعمرى,معدان بن أبي طلحة ويقال بن طلحة,Madan bin Abi Talha (2),Male,Follower(Tabi')
Rzyq bin Hyan al-Dmshqy (6),10879,رزيق بن حيان أبو المقدام الدمشقى,رزيق بن حيان الدمشقي,Rzyq bin Hyan al-Dmshqy (6),Male,Follower(Tabi')
Sulaiman bin Musa al-Ashdaq (5),10880,سليمان بن موسى الأموى الدمشقى الأشدق,سليمان بن موسى الأموي الأشدق,Sulaiman bin Musa al-Ashdaq (5),Male,Follower(Tabi')
Shdad bin Abdullah (4),10881,شداد بن عبد الله أبو عمار القرشى الدمشقى,شداد بن عبد الله القرشي أبو عمار,Shdad bin Abdullah (4),Male,Follower(Tabi')
Abdullah bin Amir (3),10882,عبد الله بن عامر بن يزيد اليحصبى المقرئ,عبد الله بن عامر بن يزيد بن تميم,Abdullah bin Amir (3),Male,Follower(Tabi')
"Amr bin Marthad, Abu Asma al-Rahbi (3)",10883,عمرو بن مرثد أبو أسماء الرحبى,عمرو بن مرثد أبو أسماء الرحبي,"Amr bin Marthad, Abu Asma al-Rahbi (3)",Male,Follower(Tabi')
al-Ala bin al-Harith bin Abdul Warith ,10884,العلاء بن الحارث بن عبد الوارث الحضرمى,العلاء بن الحارث بن عبد الوارث,al-Ala bin al-Harith bin Abdul Warith ,Male,Follower(Tabi')
Yazid bin Yazid bin Jabir (6),10885,يزيد بن يزيد بن جابر الأزدى الدمشقى,يزيد بن يزيد بن جابر,Yazid bin Yazid bin Jabir (6),Male,Follower(Tabi')
Abu Uthman,10886,أبو عثمان [ شيخ لربيعة بن يزيد الدمشقى ],أبو عثمان,Abu Uthman,Male,Follower(Tabi')
Ibrahim bin Suwayd al-Nkhy (6),10887,إبراهيم بن سويد النخعى,إبراهيم بن سويد النخعي,Ibrahim bin Suwayd al-Nkhy (6),Male,Follower(Tabi')
Ibrahim bin Abdullah bin Qariz (3),10888,إبراهيم بن عبد الله بن قارظ,إبراهيم بن عبد الله بن قارظ,Ibrahim bin Abdullah bin Qariz (3),Male,Follower(Tabi')
Ishaq Mwla Zaidh,10889,إسحاق بن عبد الله مولى زائدة والد عمر,إسحاق مولى زائدة,Ishaq Mwla Zaidh,Male,Follower(Tabi')
al-Aswad bin al-Ala bin Jaryh,10890,الأسود بن العلاء بن جارية الثقفى,الأسود بن العلاء بن جارية,al-Aswad bin al-Ala bin Jaryh,Male,Follower(Tabi')
Ashth bin Swar al-Kndy ,10891,أشعث بن سوار الكندى النجار الأفرق الأثرم,أشعث بن سوار الكندي النجار,Ashth bin Swar al-Kndy ,Male,Follower(Tabi')
Iyad bin Laqayt al-Sadusi,10892,إياد بن لقيط السدوسى,إياد بن لقيط,Iyad bin Laqayt al-Sadusi,Male,Follower(Tabi')
Bjh bin Abdullah (3),10893,بعجة بن عبد الله بن بدر الجهنى,بعجة بن عبد الله بن بدر,Bjh bin Abdullah (3),Male,Follower(Tabi')
Tmym bin Trfh (3),10894,تميم بن طرفة الطائى المسلى,تميم بن طرفة,Tmym bin Trfh (3),Male,Follower(Tabi')
Jabir bin Amr Abu al-Waz ,10895,جابر بن عمرو أبو الوازع الراسبى,جابر بن عمرو أبو الوازع,Jabir bin Amr Abu al-Waz ,Male,Follower(Tabi')
Jafar bin Abi Thwr (3),10896,جعفر بن أبى ثور أبو ثور,جعفر بن أبي ثور واسم,Jafar bin Abi Thwr (3),Male,Follower(Tabi')
Jafar bin Amr bin Hryth (3),10897,جعفر بن عمرو بن حريث المخزومى,جعفر بن عمرو بن حريث,Jafar bin Amr bin Hryth (3),Male,Follower(Tabi')
Jafar bin Muhammad bin Ali (6),10898,جعفر بن محمد بن على بن الحسين الصادق,جعفر بن محمد بن علي - الصادق,Jafar bin Muhammad bin Ali (6),Male,Follower(Tabi')
Habib bin Ubaid al-Rhby (3),10899,حبيب بن عبيد أبو حفص الحمصى الرحبى,حبيب بن عبيد الرحبي,Habib bin Ubaid al-Rhby (3),Male,Follower(Tabi')
Hjaj bin Abi Zynb (6),10900,حجاج بن أبى زينب أبو يوسف السلمى الصيقل,حجاج بن أبي زينب السلمي,Hjaj bin Abi Zynb (6),Male,Follower(Tabi')
Hudayr bin Karayb Abu al-Zahriyya (3),10901,حدير بن كريب أبو الزاهرية الحضرمى الحمصى,حدير بن كريب  أبو الزاهرية,Hudayr bin Karayb Abu al-Zahriyya (3),Male,Follower(Tabi')
Hdyn bin al-Mndhr bin al-Harith ,10902,حضين بن المنذر أبو ساسان الرقاشى,حضين بن المنذر بن الحارث,Hdyn bin al-Mndhr bin al-Harith ,Male,Follower(Tabi')
Hamza bin al-Mughira bin Shuba,10903,حمزة بن المغيرة بن شعبة الثقفى,حمزة بن المغيرة بن شعبة,Hamza bin al-Mughira bin Shuba,Male,Follower(Tabi')
"Humayri bin Bashir, Abu Abdullah Jasri",10904,حميرى بن بشير أبو عبد الله الجسرى,حميري بن بشير  أبو عبد الله الجسري,"Humayri bin Bashir, Abu Abdullah Jasri",Male,Follower(Tabi')
Hnsh bin Abdullah (3),10905,حنش بن عبد الله أبو رشدين الصنعانى,حنش بن عبد الله ويقال,Hnsh bin Abdullah (3),Male,Follower(Tabi')
Khalid bin Abi Imran (5),10906,خالد بن أبى عمران أبو عمر التجيبى,خالد بن أبي عمران,Khalid bin Abi Imran (5),Male,Follower(Tabi')
Khalid bin Ghlaq ,10907,خالد بن غلاق أبو حسان القيسى,خالد بن غلاق,Khalid bin Ghlaq ,Male,Follower(Tabi')
Khalid bin al-Mhajr bin ,10908,خالد بن المهاجر بن خالد بن الوليد,خالد بن المهاجر,Khalid bin al-Mhajr bin ,Male,Follower(Tabi')
Khalid bin Abi Yazid bin Simak,10909,خالد بن أبى يزيد أبو عبد الرحيم الحرانى,خالد بن أبي يزيد بن سماك,Khalid bin Abi Yazid bin Simak,Male,Follower(Tabi')
Rjaa bin Hywh,10910,رجاء بن حيوة أبو المقدام الكندى,رجاء بن حيوة,Rjaa bin Hywh,Male,Follower(Tabi')
Zadhan Abu Umar ,10911,زاذان أبو عمر الكندى البزاز,زاذان أبو عمر,Zadhan Abu Umar ,Male,Follower(Tabi')
Zayd bin Salam (6),10912,زيد بن سلام بن أبى سلام الحبشى,زيد بن سلام,Zayd bin Salam (6),Male,Follower(Tabi')
Salm bin Abi Salm (4),10913,سالم بن أبى سالم الجيشانى المصرى,سالم بن أبي سالم,Salm bin Abi Salm (4),Male,Follower(Tabi')
Salmah bin Shyb,10914,سلمة بن صهيب أبو حذيفة الأرحبى,سلمة بن صهيب ويقال بن صهيبة,Salmah bin Shyb,Male,Follower(Tabi')
Sulaym bin Amir al-Kulai al-Khabari (3),10915,سليم بن عامر أبو يحيى الكلاعى الحمصى,سليم بن عامر الكلاعي الخبائري,Sulaym bin Amir al-Kulai al-Khabari (3),Male,Follower(Tabi')
Sulaiman bin Burayda bin al-Husayb (3),10916,سليمان بن بريدة بن الحصيب الأسلمى,سليمان بن بريدة بن الحصيب,Sulaiman bin Burayda bin al-Husayb (3),Male,Follower(Tabi')
"Shrahyl bin Aadah, Abu al-Ashath (2)",10917,شراحيل بن آده أبو الأشعث الصنعانى,شراحيل بن آدة أبو الأشعث الصنعاني,"Shrahyl bin Aadah, Abu al-Ashath (2)",Male,Follower(Tabi')
Salah bin Abi Salah,10919,صالح بن أبى صالح السمان,صالح بن أبي صالح,Salah bin Abi Salah,Male,Follower(Tabi')
Safwan bin Abdullah ,10920,صفوان بن عبد الله بن صفوان بن أمية,صفوان بن عبد الله بن صفوان بن أمية,Safwan bin Abdullah ,Male,Follower(Tabi')
Safwan bin Amr bin Harm al-Saksaki (5),10921,صفوان بن عمرو بن هرم أبو عمرو السكسكى,صفوان بن عمرو بن هرم السكسكي,Safwan bin Amr bin Harm al-Saksaki (5),Male,Follower(Tabi')
"Durayb bin Nufayr, Abu al-Salayl al-Qays",10922,ضريب بن نقير أبو السليل القيسى الجريرى,ضريب بن نقير أبو السليل القيسي,"Durayb bin Nufayr, Abu al-Salayl al-Qays",Male,Follower(Tabi')
Talha bin Ubaidullah ,10923,طلحة بن عبيد الله بن كريز الخزاعى,طلحة بن عبيد الله بن كريز,Talha bin Ubaidullah ,Male,Follower(Tabi')
Amir bin Sad al-Bajli (3),10924,عامر بن سعد البجلى الكوفى,عامر بن سعد البجلي,Amir bin Sad al-Bajli (3),Male,Follower(Tabi')
Amir bin Yahya bin Habib (6),10925,عامر بن يحيى أبو خنيس المعافرى,عامر بن يحيى بن حبيب,Amir bin Yahya bin Habib (6),Male,Follower(Tabi')
Aabad bin Hamza bin Abdullah ,10926,عباد بن حمزة بن عبد الله بن الزبير الأسدى,عباد بن حمزة بن عبد الله بن الزبير,Aabad bin Hamza bin Abdullah ,Male,Follower(Tabi')
Aabad bin Ziyad,10927,عباد بن زياد أبو حرب والى سجستان,عباد بن زياد,Aabad bin Ziyad,Male,Follower(Tabi')
Abdullah bin Abi Salma (3),10929,عبد الله بن أبى سلمة الماجشون التيمى,عبد الله بن أبي سلمة الماجشون,Abdullah bin Abi Salma (3),Male,Follower(Tabi')
Abdullah bin Swadh (4),10930,عبد الله بن سوادة بن حنظلة القشيرى,عبد الله بن سوادة,Abdullah bin Swadh (4),Male,Follower(Tabi')
Abdullah bin Abdullah bin al-Asm,10931,عبد الله بن عبد الله بن الأصم العامرى,عبد الله بن عبد الله بن الأصم,Abdullah bin Abdullah bin al-Asm,Male,Follower(Tabi')
Abdullah bin Amr bin Uthman (3),10933,عبد الله بن عمرو بن عثمان الأموى المطرف,عبد الله بن عمرو بن عثمان المطرف,Abdullah bin Amr bin Uthman (3),Male,Follower(Tabi')
