sequence_id,sanad_chain,chain_length
1190,أبو هريرة الدوسى -> عبد الرحمن بن هرمز الأعرج -> عبد الله بن ذكوان أبو الزناد المدنى -> مالك بن أنس بن مالك بن أبى عامر الأصبحى,4
1191,أبو هريرة الدوسى -> محمد بن سيرين أبو بكر الأنصارى -> هشام بن حسان الأزدى القردوسى البصرى -> إسماعيل بن إبراهيم بن مقسم ابن علية,4
1192,أبو هريرة الدوسى -> همام بن منبه بن كامل أبو عتبة الصنعانى -> معمر بن راشد أبو عروة الأزدى البصرى -> عبد الرزاق بن همام أبو بكر الصنعانى,4
1193,عبد الله بن مغفل بن عبد نهم المزنى -> مطرف بن عبد الله بن الشخير العامرى -> يزيد بن حميد أبو التياح الضبعى -> شعبة بن الحجاج العتكى -> معاذ بن معاذ بن نصر أبو المثنى العنبرى,5
1194,عبد الله بن مغفل بن عبد نهم المزنى -> مطرف بن عبد الله بن الشخير العامرى -> يزيد بن حميد أبو التياح الضبعى -> شعبة بن الحجاج العتكى -> يحيى بن سعيد بن فروخ القطان,5
1195,عبد الله بن مغفل بن عبد نهم المزنى -> مطرف بن عبد الله بن الشخير العامرى -> يزيد بن حميد أبو التياح الضبعى -> شعبة بن الحجاج العتكى -> محمد بن جعفر الهذلى البصرى غندر,5
1196,عبد الله بن مغفل بن عبد نهم المزنى -> مطرف بن عبد الله بن الشخير العامرى -> يزيد بن حميد أبو التياح الضبعى -> شعبة بن الحجاج العتكى -> خالد بن الحارث بن عبيد بن سليم الهجيمى,5
1197,جابر بن عبد الله بن عمرو بن حرام الأنصارى -> محمد بن مسلم بن تدرس أبو الزبير المكى -> الليث بن سعد أبو الحارث المصرى,3
1198,جابر بن عبد الله بن عمرو بن حرام الأنصارى -> محمد بن مسلم بن تدرس أبو الزبير المكى -> الليث بن سعد أبو الحارث المصرى,3
1199,جابر بن عبد الله بن عمرو بن حرام الأنصارى -> محمد بن مسلم بن تدرس أبو الزبير المكى -> الليث بن سعد أبو الحارث المصرى,3
1200,أبو هريرة الدوسى -> محمد بن سيرين أبو بكر الأنصارى -> هشام بن حسان الأزدى القردوسى البصرى -> جرير بن عبد الحميد بن قرط الضبى,4
1201,أبو هريرة الدوسى -> همام بن منبه بن كامل أبو عتبة الصنعانى -> معمر بن راشد أبو عروة الأزدى البصرى -> عبد الرزاق بن همام أبو بكر الصنعانى,4
1202,أبو هريرة الدوسى -> أبو السائب الأنصارى مولى هشام بن زهرة -> بكير بن عبد الله بن الأشج المدنى -> عمرو بن الحارث بن يعقوب المصرى -> عبد الله بن وهب بن مسلم المصرى,5
1203,أبو هريرة الدوسى -> أبو السائب الأنصارى مولى هشام بن زهرة -> بكير بن عبد الله بن الأشج المدنى -> عمرو بن الحارث بن يعقوب المصرى -> عبد الله بن وهب بن مسلم المصرى,5
1204,أبو هريرة الدوسى -> أبو السائب الأنصارى مولى هشام بن زهرة -> بكير بن عبد الله بن الأشج المدنى -> عمرو بن الحارث بن يعقوب المصرى -> عبد الله بن وهب بن مسلم المصرى,5
1205,أنس بن مالك بن النضر الأنصارى -> ثابت بن أسلم البنانى -> حماد بن زيد بن درهم أبو إسماعيل البصرى,3
1206,أنس بن مالك بن النضر الأنصارى -> يحيى بن سعيد بن قيس الأنصارى -> عبد العزيز بن محمد بن عبيد الدراوردى,3
1207,أنس بن مالك بن النضر الأنصارى -> يحيى بن سعيد بن قيس الأنصارى -> يحيى بن سعيد بن فروخ القطان,3
1208,أنس بن مالك بن النضر الأنصارى -> يحيى بن سعيد بن قيس الأنصارى -> عبد العزيز بن محمد بن عبيد الدراوردى,3
1209,أنس بن مالك بن النضر الأنصارى -> إسحاق بن عبد الله بن أبى طلحة الأنصارى -> عكرمة بن عمار أبو عمار اليمامى العجلى -> عمر بن يونس بن القاسم اليمامى,4
1210,عائشة بنت أبى بكر الصديق أم المؤمنين -> عروة بن الزبير بن العوام الأسدى -> هشام بن عروة بن الزبير بن العوام الأسدى -> عبد الله بن نمير أبو هشام الهمدانى,4
1211,عائشة بنت أبى بكر الصديق أم المؤمنين -> عروة بن الزبير بن العوام الأسدى -> هشام بن عروة بن الزبير بن العوام الأسدى -> عبد الله بن نمير أبو هشام الهمدانى,4
1212,عائشة بنت أبى بكر الصديق أم المؤمنين -> عروة بن الزبير بن العوام الأسدى -> هشام بن عروة بن الزبير بن العوام الأسدى -> جرير بن عبد الحميد بن قرط الضبى,4
1213,عائشة بنت أبى بكر الصديق أم المؤمنين -> عروة بن الزبير بن العوام الأسدى -> هشام بن عروة بن الزبير بن العوام الأسدى -> عيسى بن يونس بن أبى إسحاق السبيعى,4
1214,أم قيس بنت محصن الأسدية -> عبيد الله بن عبد الله بن عتبة بن مسعود -> محمد بن مسلم بن شهاب الزهرى -> الليث بن سعد أبو الحارث المصرى,4
1215,أم قيس بنت محصن الأسدية -> عبيد الله بن عبد الله بن عتبة بن مسعود -> محمد بن مسلم بن شهاب الزهرى -> سفيان بن عيينة الهلالى,4
1216,أم قيس بنت محصن الأسدية -> عبيد الله بن عبد الله بن عتبة بن مسعود -> محمد بن مسلم بن شهاب الزهرى -> سفيان بن عيينة الهلالى,4
1217,أم قيس بنت محصن الأسدية -> عبيد الله بن عبد الله بن عتبة بن مسعود -> محمد بن مسلم بن شهاب الزهرى -> سفيان بن عيينة الهلالى,4
1218,أم قيس بنت محصن الأسدية -> عبيد الله بن عبد الله بن عتبة بن مسعود -> محمد بن مسلم بن شهاب الزهرى -> سفيان بن عيينة الهلالى,4
1219,أم قيس بنت محصن الأسدية -> عبيد الله بن عبد الله بن عتبة بن مسعود -> محمد بن مسلم بن شهاب الزهرى -> يونس بن يزيد بن أبى النجاد الأيلى -> عبد الله بن وهب بن مسلم المصرى,5
1220,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> زياد بن كليب أبو معشر الحنظلى الكوفى -> خالد بن مهران الحذاء -> خالد بن عبد الله بن عبد الرحمن الطحان,6
1221,عائشة بنت أبى بكر الصديق أم المؤمنين -> علقمة بن قيس بن عبد الله النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> زياد بن كليب أبو معشر الحنظلى الكوفى -> خالد بن مهران الحذاء -> خالد بن عبد الله بن عبد الرحمن الطحان,6
1222,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> سليمان بن مهران الأعمش -> حفص بن غياث بن طلق أبو عمر النخعى,5
1223,عائشة بنت أبى بكر الصديق أم المؤمنين -> همام بن الحارث بن قيس بن عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> سليمان بن مهران الأعمش -> حفص بن غياث بن طلق أبو عمر النخعى,5
1224,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> المغيرة بن مقسم أبو هشام الضبى الكوفى -> هشيم بن بشير أبو معاوية السلمى,5
1225,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> زياد بن كليب أبو معشر الحنظلى الكوفى -> سعيد بن أبى عروبة أبو النضر اليشكرى -> عبدة بن سليمان الكلابى الكوفى,6
1226,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> زياد بن كليب أبو معشر الحنظلى الكوفى -> هشام بن حسان الأزدى القردوسى البصرى -> حماد بن زيد بن درهم أبو إسماعيل البصرى,6
1227,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> المغيرة بن مقسم أبو هشام الضبى الكوفى -> إسرائيل بن يونس بن أبى إسحاق السبيعى -> إسحاق بن منصور أبو عبد الرحمن السلولى,6
1228,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> منصور بن المعتمر أبو عتاب السلمى -> إسرائيل بن يونس بن أبى إسحاق السبيعى -> إسحاق بن منصور أبو عبد الرحمن السلولى,6
1229,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> واصل بن حيان الأحدب الأسدى الكوفى -> مهدى بن ميمون أبو يحيى الأزدى المعولى -> عبد الرحمن بن مهدى بن حسان العنبرى,6
1230,عائشة بنت أبى بكر الصديق أم المؤمنين -> همام بن الحارث بن قيس بن عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> منصور بن المعتمر أبو عتاب السلمى -> سفيان بن عيينة الهلالى,5
1231,عائشة بنت أبى بكر الصديق أم المؤمنين -> سليمان بن يسار الهلالى المدنى -> عمرو بن ميمون بن مهران الجزرى -> محمد بن بشر أبو عبد الله العبدى الكوفى,4
1232,عائشة بنت أبى بكر الصديق أم المؤمنين -> سليمان بن يسار الهلالى المدنى -> عمرو بن ميمون بن مهران الجزرى -> عبد الواحد بن زياد العبدى البصرى,4
1233,عائشة بنت أبى بكر الصديق أم المؤمنين -> سليمان بن يسار الهلالى المدنى -> عمرو بن ميمون بن مهران الجزرى -> عبد الله بن المبارك المروزى,4
1234,عائشة بنت أبى بكر الصديق أم المؤمنين -> سليمان بن يسار الهلالى المدنى -> عمرو بن ميمون بن مهران الجزرى -> يحيى بن زكريا بن أبى زائدة الهمدانى,4
1235,عائشة بنت أبى بكر الصديق أم المؤمنين -> عبد الله بن شهاب أبو الجزل الخولانى -> شبيب بن غرقدة البارقى -> سلام بن سليم أبو الأحوص الحنفى,4
1236,أسماء بنت أبى بكر الصديق -> فاطمة بنت المنذر بن الزبير بن العوام -> هشام بن عروة بن الزبير بن العوام الأسدى -> وكيع بن الجراح بن مليح الرؤاسى,4
1237,أسماء بنت أبى بكر الصديق -> فاطمة بنت المنذر بن الزبير بن العوام -> هشام بن عروة بن الزبير بن العوام الأسدى -> يحيى بن سعيد بن فروخ القطان,4
1238,أسماء بنت أبى بكر الصديق -> فاطمة بنت المنذر بن الزبير بن العوام -> هشام بن عروة بن الزبير بن العوام الأسدى -> عبد الله بن نمير أبو هشام الهمدانى,4
1239,أسماء بنت أبى بكر الصديق -> فاطمة بنت المنذر بن الزبير بن العوام -> هشام بن عروة بن الزبير بن العوام الأسدى -> عمرو بن الحارث بن يعقوب المصرى -> عبد الله بن وهب بن مسلم المصرى,5
1240,أسماء بنت أبى بكر الصديق -> فاطمة بنت المنذر بن الزبير بن العوام -> هشام بن عروة بن الزبير بن العوام الأسدى -> مالك بن أنس بن مالك بن أبى عامر الأصبحى -> عبد الله بن وهب بن مسلم المصرى,5
1241,أسماء بنت أبى بكر الصديق -> فاطمة بنت المنذر بن الزبير بن العوام -> هشام بن عروة بن الزبير بن العوام الأسدى -> يحيى بن عبد الله بن سالم المدنى -> عبد الله بن وهب بن مسلم المصرى,5
1242,عبد الله بن عباس بن عبد المطلب الهاشمى -> طاوس بن كيسان أبو عبد الرحمن اليمانى -> مجاهد بن جبر أبو الحجاج المخزومى المكى -> سليمان بن مهران الأعمش -> وكيع بن الجراح بن مليح الرؤاسى,5
1243,عبد الله بن عباس بن عبد المطلب الهاشمى -> طاوس بن كيسان أبو عبد الرحمن اليمانى -> مجاهد بن جبر أبو الحجاج المخزومى المكى -> سليمان بن مهران الأعمش -> وكيع بن الجراح بن مليح الرؤاسى,5
1244,عبد الله بن عباس بن عبد المطلب الهاشمى -> طاوس بن كيسان أبو عبد الرحمن اليمانى -> مجاهد بن جبر أبو الحجاج المخزومى المكى -> سليمان بن مهران الأعمش -> وكيع بن الجراح بن مليح الرؤاسى,5
1245,عبد الله بن عباس بن عبد المطلب الهاشمى -> طاوس بن كيسان أبو عبد الرحمن اليمانى -> مجاهد بن جبر أبو الحجاج المخزومى المكى -> سليمان بن مهران الأعمش -> عبد الواحد بن زياد العبدى البصرى -> معلى بن أسد أبو الهيثم العمى,6
1246,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> منصور بن المعتمر أبو عتاب السلمى -> جرير بن عبد الحميد بن قرط الضبى,5
1247,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> منصور بن المعتمر أبو عتاب السلمى -> جرير بن عبد الحميد بن قرط الضبى,5
1248,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> منصور بن المعتمر أبو عتاب السلمى -> جرير بن عبد الحميد بن قرط الضبى,5
1249,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> عبد الرحمن بن الأسود بن يزيد النخعى -> سليمان بن أبى سليمان أبو إسحاق الشيبانى -> على بن مسهر القرشى الكوفى,5
1250,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> عبد الرحمن بن الأسود بن يزيد النخعى -> سليمان بن أبى سليمان أبو إسحاق الشيبانى -> على بن مسهر القرشى الكوفى,5
1251,ميمونة بنت الحارث أم المؤمنين -> عبد الله بن شداد بن الهاد الليثى -> سليمان بن أبى سليمان أبو إسحاق الشيبانى -> خالد بن عبد الله بن عبد الرحمن الطحان,4
1252,ميمونة بنت الحارث أم المؤمنين -> كريب بن أبى مسلم مولى ابن عباس -> بكير بن عبد الله بن الأشج المدنى -> مخرمة بن بكير بن عبد الله بن الأشج -> عبد الله بن وهب بن مسلم المصرى,5
1253,ميمونة بنت الحارث أم المؤمنين -> كريب بن أبى مسلم مولى ابن عباس -> بكير بن عبد الله بن الأشج المدنى -> مخرمة بن بكير بن عبد الله بن الأشج -> عبد الله بن وهب بن مسلم المصرى,5
1254,ميمونة بنت الحارث أم المؤمنين -> كريب بن أبى مسلم مولى ابن عباس -> بكير بن عبد الله بن الأشج المدنى -> مخرمة بن بكير بن عبد الله بن الأشج -> عبد الله بن وهب بن مسلم المصرى,5
1255,هند بنت أبى أمية أم سلمة أم المؤمنين -> زينب بنت أبى سلمة بن عبد الأسد المخزومية -> أبو سلمة بن عبد الرحمن بن عوف الزهرى -> يحيى بن أبى كثير أبو نصر الطائى -> هشام بن أبى عبد الله الدستوائى -> معاذ بن هشام بن أبى عبد الله الدستوائى,6
1256,عائشة بنت أبى بكر الصديق أم المؤمنين -> عمرة بنت عبد الرحمن الأنصارية -> عروة بن الزبير بن العوام الأسدى -> محمد بن مسلم بن شهاب الزهرى -> مالك بن أنس بن مالك بن أبى عامر الأصبحى,5
1257,عائشة بنت أبى بكر الصديق أم المؤمنين -> عروة بن الزبير بن العوام الأسدى -> محمد بن مسلم بن شهاب الزهرى -> الليث بن سعد أبو الحارث المصرى,4
1258,عائشة بنت أبى بكر الصديق أم المؤمنين -> عمرة بنت عبد الرحمن الأنصارية -> محمد بن مسلم بن شهاب الزهرى -> الليث بن سعد أبو الحارث المصرى,4
1259,عائشة بنت أبى بكر الصديق أم المؤمنين -> عروة بن الزبير بن العوام الأسدى -> محمد بن مسلم بن شهاب الزهرى -> الليث بن سعد أبو الحارث المصرى,4
1260,عائشة بنت أبى بكر الصديق أم المؤمنين -> عمرة بنت عبد الرحمن الأنصارية -> محمد بن مسلم بن شهاب الزهرى -> الليث بن سعد أبو الحارث المصرى,4
1261,عائشة بنت أبى بكر الصديق أم المؤمنين -> عروة بن الزبير بن العوام الأسدى -> محمد بن عبد الرحمن بن نوفل الأسدى -> عمرو بن الحارث بن يعقوب المصرى -> عبد الله بن وهب بن مسلم المصرى,5
1262,عائشة بنت أبى بكر الصديق أم المؤمنين -> عروة بن الزبير بن العوام الأسدى -> هشام بن عروة بن الزبير بن العوام الأسدى -> زهير بن معاوية بن حديج أبو خيثمة الجعفى,4
1263,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> منصور بن المعتمر أبو عتاب السلمى -> زائدة بن قدامة أبو الصلت الثقفى الكوفى -> الحسين بن على بن الوليد الجعفى المقرئ,6
1264,عائشة بنت أبى بكر الصديق أم المؤمنين -> القاسم بن محمد بن أبى بكر الصديق -> ثابت بن عبيد الأنصارى مولى زيد بن ثابت -> سليمان بن مهران الأعمش -> محمد بن خازم أبو معاوية الضرير,5
1265,عائشة بنت أبى بكر الصديق أم المؤمنين -> القاسم بن محمد بن أبى بكر الصديق -> ثابت بن عبيد الأنصارى مولى زيد بن ثابت -> سليمان بن مهران الأعمش -> محمد بن خازم أبو معاوية الضرير,5
1266,عائشة بنت أبى بكر الصديق أم المؤمنين -> القاسم بن محمد بن أبى بكر الصديق -> ثابت بن عبيد الأنصارى مولى زيد بن ثابت -> سليمان بن مهران الأعمش -> محمد بن خازم أبو معاوية الضرير,5
1267,عائشة بنت أبى بكر الصديق أم المؤمنين -> القاسم بن محمد بن أبى بكر الصديق -> ثابت بن عبيد الأنصارى مولى زيد بن ثابت -> حجاج بن أرطاة بن ثور أبو أرطاة الكوفى -> يحيى بن زكريا بن أبى زائدة الهمدانى,5
1268,عائشة بنت أبى بكر الصديق أم المؤمنين -> القاسم بن محمد بن أبى بكر الصديق -> ثابت بن عبيد الأنصارى مولى زيد بن ثابت -> عبد الملك بن حميد بن أبى غنية الخزاعى -> يحيى بن زكريا بن أبى زائدة الهمدانى,5
1269,أبو هريرة الدوسى -> سلمان أبو حازم الأشجعى الكوفى -> يزيد بن كيسان اليشكرى الكوفى -> يحيى بن سعيد بن فروخ القطان,4
1270,أبو هريرة الدوسى -> سلمان أبو حازم الأشجعى الكوفى -> يزيد بن كيسان اليشكرى الكوفى -> يحيى بن سعيد بن فروخ القطان,4
1271,أبو هريرة الدوسى -> سلمان أبو حازم الأشجعى الكوفى -> يزيد بن كيسان اليشكرى الكوفى -> يحيى بن سعيد بن فروخ القطان,4
1272,عائشة بنت أبى بكر الصديق أم المؤمنين -> شريح بن هانئ بن يزيد أبو المقدام الحارثى -> المقدام بن شريح بن هانئ الحارثى -> سفيان بن سعيد بن مسروق الثورى -> وكيع بن الجراح بن مليح الرؤاسى,5
1273,عائشة بنت أبى بكر الصديق أم المؤمنين -> شريح بن هانئ بن يزيد أبو المقدام الحارثى -> المقدام بن شريح بن هانئ الحارثى -> مسعر بن كدام بن ظهير أبو سلمة الهلالى -> وكيع بن الجراح بن مليح الرؤاسى,5
1274,عائشة بنت أبى بكر الصديق أم المؤمنين -> شريح بن هانئ بن يزيد أبو المقدام الحارثى -> المقدام بن شريح بن هانئ الحارثى -> سفيان بن سعيد بن مسروق الثورى -> وكيع بن الجراح بن مليح الرؤاسى,5
1275,عائشة بنت أبى بكر الصديق أم المؤمنين -> شريح بن هانئ بن يزيد أبو المقدام الحارثى -> المقدام بن شريح بن هانئ الحارثى -> مسعر بن كدام بن ظهير أبو سلمة الهلالى -> وكيع بن الجراح بن مليح الرؤاسى,5
1276,عائشة بنت أبى بكر الصديق أم المؤمنين -> صفية بنت شيبة بن عثمان العبدرية -> منصور بن عبد الرحمن الحجبى ابن صفية -> داود بن عبد الرحمن العطار المكى,4
1277,أنس بن مالك بن النضر الأنصارى -> ثابت بن أسلم البنانى -> حماد بن سلمة بن دينار أبو سلمة البصرى -> عبد الرحمن بن مهدى بن حسان العنبرى,4
1278,على بن أبى طالب أمير المؤمنين -> محمد بن على بن أبى طالب ابن الحنفية -> المنذر بن يعلى أبو يعلى الثورى -> سليمان بن مهران الأعمش -> محمد بن خازم أبو معاوية الضرير,5
1279,على بن أبى طالب أمير المؤمنين -> محمد بن على بن أبى طالب ابن الحنفية -> المنذر بن يعلى أبو يعلى الثورى -> سليمان بن مهران الأعمش -> هشيم بن بشير أبو معاوية السلمى,5
1280,على بن أبى طالب أمير المؤمنين -> محمد بن على بن أبى طالب ابن الحنفية -> المنذر بن يعلى أبو يعلى الثورى -> سليمان بن مهران الأعمش -> وكيع بن الجراح بن مليح الرؤاسى,5
1281,على بن أبى طالب أمير المؤمنين -> محمد بن على بن أبى طالب ابن الحنفية -> المنذر بن يعلى أبو يعلى الثورى -> سليمان بن مهران الأعمش -> شعبة بن الحجاج العتكى -> خالد بن الحارث بن عبيد بن سليم الهجيمى,6
1282,على بن أبى طالب أمير المؤمنين -> عبد الله بن عباس بن عبد المطلب الهاشمى -> سليمان بن يسار الهلالى المدنى -> بكير بن عبد الله بن الأشج المدنى -> مخرمة بن بكير بن عبد الله بن الأشج -> عبد الله بن وهب بن مسلم المصرى,6
1283,على بن أبى طالب أمير المؤمنين -> عبد الله بن عباس بن عبد المطلب الهاشمى -> سليمان بن يسار الهلالى المدنى -> بكير بن عبد الله بن الأشج المدنى -> مخرمة بن بكير بن عبد الله بن الأشج -> عبد الله بن وهب بن مسلم المصرى,6
1284,عبد الله بن عباس بن عبد المطلب الهاشمى -> كريب بن أبى مسلم مولى ابن عباس -> سلمة بن كهيل أبو يحيى الحضرمى -> سفيان بن سعيد بن مسروق الثورى -> وكيع بن الجراح بن مليح الرؤاسى,5
1285,عبد الله بن عباس بن عبد المطلب الهاشمى -> كريب بن أبى مسلم مولى ابن عباس -> سلمة بن كهيل أبو يحيى الحضرمى -> سفيان بن سعيد بن مسروق الثورى -> وكيع بن الجراح بن مليح الرؤاسى,5
1286,عائشة بنت أبى بكر الصديق أم المؤمنين -> أبو سلمة بن عبد الرحمن بن عوف الزهرى -> محمد بن مسلم بن شهاب الزهرى -> الليث بن سعد أبو الحارث المصرى,4
1287,عائشة بنت أبى بكر الصديق أم المؤمنين -> أبو سلمة بن عبد الرحمن بن عوف الزهرى -> محمد بن مسلم بن شهاب الزهرى -> الليث بن سعد أبو الحارث المصرى,4
1288,عائشة بنت أبى بكر الصديق أم المؤمنين -> أبو سلمة بن عبد الرحمن بن عوف الزهرى -> محمد بن مسلم بن شهاب الزهرى -> الليث بن سعد أبو الحارث المصرى,4
1289,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> الحكم بن عتيبة أبو محمد الكندى الكوفى -> شعبة بن الحجاج العتكى -> إسماعيل بن إبراهيم بن مقسم ابن علية,6
1290,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> الحكم بن عتيبة أبو محمد الكندى الكوفى -> شعبة بن الحجاج العتكى -> محمد بن جعفر الهذلى البصرى غندر,6
1291,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> الحكم بن عتيبة أبو محمد الكندى الكوفى -> شعبة بن الحجاج العتكى -> وكيع بن الجراح بن مليح الرؤاسى,6
1292,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> الحكم بن عتيبة أبو محمد الكندى الكوفى -> شعبة بن الحجاج العتكى -> معاذ بن معاذ بن نصر أبو المثنى العنبرى,6
1293,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> الحكم بن عتيبة أبو محمد الكندى الكوفى -> شعبة بن الحجاج العتكى -> محمد بن جعفر الهذلى البصرى غندر,6
1294,عائشة بنت أبى بكر الصديق أم المؤمنين -> الأسود بن يزيد بن قيس أبو عمرو النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> الحكم بن عتيبة أبو محمد الكندى الكوفى -> شعبة بن الحجاج العتكى -> محمد بن جعفر الهذلى البصرى غندر,6
1295,عبد الله بن عمر بن الخطاب العدوى -> نافع أبو عبد الله المدنى مولى ابن عمر -> عبيد الله بن عمر بن حفص بن عاصم العمرى -> يحيى بن سعيد بن فروخ القطان,4
1296,عبد الله بن عمر بن الخطاب العدوى -> نافع أبو عبد الله المدنى مولى ابن عمر -> عبيد الله بن عمر بن حفص بن عاصم العمرى -> حماد بن أسامة أبو أسامة القرشى الكوفى,4
1297,عبد الله بن عمر بن الخطاب العدوى -> نافع أبو عبد الله المدنى مولى ابن عمر -> عبيد الله بن عمر بن حفص بن عاصم العمرى -> يحيى بن سعيد بن فروخ القطان,4
1298,عبد الله بن عمر بن الخطاب العدوى -> نافع أبو عبد الله المدنى مولى ابن عمر -> عبيد الله بن عمر بن حفص بن عاصم العمرى -> عبد الله بن نمير أبو هشام الهمدانى,4
1299,عمر بن الخطاب أمير المؤمنين -> عبد الله بن عمر بن الخطاب العدوى -> نافع أبو عبد الله المدنى مولى ابن عمر -> عبيد الله بن عمر بن حفص بن عاصم العمرى -> يحيى بن سعيد بن فروخ القطان,5
1300,عمر بن الخطاب أمير المؤمنين -> عبد الله بن عمر بن الخطاب العدوى -> نافع أبو عبد الله المدنى مولى ابن عمر -> عبيد الله بن عمر بن حفص بن عاصم العمرى -> حماد بن أسامة أبو أسامة القرشى الكوفى,5
1301,عمر بن الخطاب أمير المؤمنين -> عبد الله بن عمر بن الخطاب العدوى -> نافع أبو عبد الله المدنى مولى ابن عمر -> عبيد الله بن عمر بن حفص بن عاصم العمرى -> يحيى بن سعيد بن فروخ القطان,5
1302,عمر بن الخطاب أمير المؤمنين -> عبد الله بن عمر بن الخطاب العدوى -> نافع أبو عبد الله المدنى مولى ابن عمر -> عبيد الله بن عمر بن حفص بن عاصم العمرى -> عبد الله بن نمير أبو هشام الهمدانى,5
1303,عبد الله بن عمر بن الخطاب العدوى -> نافع أبو عبد الله المدنى مولى ابن عمر -> عبد الملك بن عبد العزيز بن جريج الأموى -> عبد الرزاق بن همام أبو بكر الصنعانى,4
1304,عبد الله بن عمر بن الخطاب العدوى -> عبد الله بن دينار أبو عبد الرحمن العدوى -> مالك بن أنس بن مالك بن أبى عامر الأصبحى,3
1305,عائشة بنت أبى بكر الصديق أم المؤمنين -> عبد الله بن أبى قيس أبو الأسود النصرى -> معاوية بن صالح بن حدير الحضرمى -> الليث بن سعد أبو الحارث المصرى,4
1306,عائشة بنت أبى بكر الصديق أم المؤمنين -> عبد الله بن أبى قيس أبو الأسود النصرى -> معاوية بن صالح بن حدير الحضرمى -> عبد الرحمن بن مهدى بن حسان العنبرى,4
1307,عائشة بنت أبى بكر الصديق أم المؤمنين -> عبد الله بن أبى قيس أبو الأسود النصرى -> معاوية بن صالح بن حدير الحضرمى -> عبد الله بن وهب بن مسلم المصرى,4
1308,سعد بن مالك بن سنان أبو سعيد الخدرى -> على بن داود أبو المتوكل الناجى -> عاصم بن سليمان الأحول البصرى -> حفص بن غياث بن طلق أبو عمر النخعى,4
1309,سعد بن مالك بن سنان أبو سعيد الخدرى -> على بن داود أبو المتوكل الناجى -> عاصم بن سليمان الأحول البصرى -> مروان بن معاوية بن الحارث الفزارى,4
1310,سعد بن مالك بن سنان أبو سعيد الخدرى -> على بن داود أبو المتوكل الناجى -> عاصم بن سليمان الأحول البصرى -> مروان بن معاوية بن الحارث الفزارى,4
